UID,NAME,DATE,CHECKIN,CHECKOUT,INTERVAL
"111111","Jorge","2026-03-09","9:0","13:22","4.4" 
"111111","Jorge","2026-03-09","15:0","19:24","4.4" 
"111111","Jorge","2026-03-10","8:57","13:3","4.1" 
"111111","Jorge","2026-03-10","15:3","18:3","3.0" 
"111111","Jorge","2026-03-11","8:56","13:10","4.2" 
"111111","Jorge","2026-03-11","14:10","17:48","3.6" 
"111111","Jorge","2026-03-12","9:0","12:40","3.7" 
"111111","Jorge","2026-03-12","13:53","19:12","5.3" 
"111111","Jorge","2026-03-13","9:2","12:56","3.9" 
"111111","Jorge","2026-03-13","14:2","17:9","3.1" 
"222222","Lola","2026-03-09","9:8","16:34","7.4"
"222222","Lola","2026-03-10","9:0","17:10","8.2" 
"222222","Lola","2026-03-11","","","7" 
"222222","Lola","2026-03-12","9:39","16:26","6.8" 
"222222","Lola","2026-03-13","8:35","16:40","8.1" 
